ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48ECB69625761D85B49,2020-11-06 00:00:00,001,颗粒物,1.08,20,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48ECB69625761D85B49,2020-11-06 00:00:00,002,二氧化硫,0.35,80,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48ECB69625761D85B49,2020-11-06 00:00:00,003,氮氧化物,112.8,250,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48ECB69625761D85B49,2020-11-06 00:00:00,004,一氧化碳,2.38,80,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48ECB69625761D85B49,2020-11-06 00:00:00,008,氯化氢,1.31,50,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48E37C4D18896C53EFD,2020-11-06 00:00:00,001,颗粒物,1.78,20,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48E37C4D18896C53EFD,2020-11-06 00:00:00,002,二氧化硫,5.57,80,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48E37C4D18896C53EFD,2020-11-06 00:00:00,003,氮氧化物,124.9,250,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48E37C4D18896C53EFD,2020-11-06 00:00:00,004,一氧化碳,1.21,80,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48E37C4D18896C53EFD,2020-11-06 00:00:00,008,氯化氢,2.59,50,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48EB69205CEAEA8C8FA,2020-11-06 00:00:00,001,颗粒物,0.82,20,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48EB69205CEAEA8C8FA,2020-11-06 00:00:00,002,二氧化硫,4.4,80,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48EB69205CEAEA8C8FA,2020-11-06 00:00:00,003,氮氧化物,130.7,250,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48EB69205CEAEA8C8FA,2020-11-06 00:00:00,004,一氧化碳,1.98,80,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
F3AB5916A417E48EA35BB5CFC643D0F1,F3AB5916A417E48EB69205CEAEA8C8FA,2020-11-06 00:00:00,008,氯化氢,3.36,50,,0,0,2020-11-16T19:39:33.15,2020-11-16T19:39:34.383,20201106
