ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470CD5677DB5EB68E94,2020-11-20 00:00:00,001,颗粒物,3.29,20,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470CD5677DB5EB68E94,2020-11-20 00:00:00,002,二氧化硫,13.46,80,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470CD5677DB5EB68E94,2020-11-20 00:00:00,003,氮氧化物,135.25,250,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470CD5677DB5EB68E94,2020-11-20 00:00:00,004,一氧化碳,26.18,80,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470CD5677DB5EB68E94,2020-11-20 00:00:00,008,氯化氢,26.74,50,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470961FA417AA3DBB06,2020-11-20 00:00:00,001,颗粒物,3.06,20,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470961FA417AA3DBB06,2020-11-20 00:00:00,002,二氧化硫,13.14,80,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470961FA417AA3DBB06,2020-11-20 00:00:00,003,氮氧化物,131.94,250,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470961FA417AA3DBB06,2020-11-20 00:00:00,004,一氧化碳,25.45,80,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
C23C9134D2D8B47042B60E2BA4589471,C23C9134D2D8B470961FA417AA3DBB06,2020-11-20 00:00:00,008,氯化氢,28.43,50,,0,0,2020-11-21T09:25:37.29,2020-11-21T09:25:45.247,20201120
