ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF104C1F93DF0654B97,2020-11-10 00:00:00,001,颗粒物,5.39,20,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF104C1F93DF0654B97,2020-11-10 00:00:00,002,二氧化硫,8.85,80,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF104C1F93DF0654B97,2020-11-10 00:00:00,003,氮氧化物,164.18,250,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF104C1F93DF0654B97,2020-11-10 00:00:00,004,一氧化碳,24.68,80,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF104C1F93DF0654B97,2020-11-10 00:00:00,008,氯化氢,23.34,50,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF1871830B7EAA92631,2020-11-10 00:00:00,001,颗粒物,13.17,20,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF1871830B7EAA92631,2020-11-10 00:00:00,002,二氧化硫,21.2,80,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF1871830B7EAA92631,2020-11-10 00:00:00,003,氮氧化物,171.23,250,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF1871830B7EAA92631,2020-11-10 00:00:00,004,一氧化碳,5.3,80,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
A02B6E07B74BDBF132C4889BBC2C18AB,A02B6E07B74BDBF1871830B7EAA92631,2020-11-10 00:00:00,008,氯化氢,14.59,50,,0,0,2020-11-16T19:38:36.493,2020-11-16T19:38:37.307,20201110
